Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
mysql_audit_notify,0.1,0.25,0.15230000000000005
instantiate_tmp_table,0.07,3.63,0.15119999999999995
srv_purge_coordinator_thread,0.07,0.29,0.14850000000000002
QEP_TAB::cleanup,0.09,1.29,0.1482999999999999
MYSQL_BIN_LOG::flush_thread_caches,0.1,0.26,0.14820000000000008
Write_rows_log_event::binlog_row_logging_function,0.09,0.29,0.14789999999999995
ha_innobase::store_lock,0.1,0.25,0.14539999999999995
native_queued_spin_lock_slowpath,0.09,0.3,0.14359999999999992
futex_wait_setup,0.09,0.27,0.14309999999999995
Query_block::apply_local_transforms,0.09,0.26,0.14229999999999998
__filemap_fdatawrite_range,0.09,0.31,0.14229999999999993
filemap_fdatawrite_wbc,0.09,0.31,0.1421999999999999
binlog_cache_data::flush,0.09,0.25,0.1418
trx_rollback_to_savepoint,0.04,0.25,0.14160000000000003
THD::binlog_write_row,0.09,0.28,0.1410999999999999
do_writepages,0.09,0.3,0.1399999999999999
Table_map_log_event::Table_map_log_event,0.09,0.26,0.1396999999999999
Optimize_table_order::best_extension_by_limited_search,0.09,0.27,0.13939999999999986
xfs_vm_writepages,0.09,0.3,0.1388999999999999
__update_load_avg_cfs_rq,0.09,0.23,0.13779999999999992
Arg_comparator::set_cmp_func,0.1,0.22,0.13709999999999994
thd_to_trx,0.09,0.23,0.13629999999999992
dict_index_copy_types,0.09,0.23,0.13549999999999993
log_writer,0.07,0.27,0.1353999999999999
btr_page_split_and_insert,0.06,0.22,0.13459999999999994
update_cfs_group,0.08,0.22,0.1334999999999999
skb_release_data,0.08,0.24,0.13269999999999993
PT_insert::make_cmd,0.09,0.22,0.13269999999999993
my_net_write,0.07,0.24,0.13189999999999993
check_stack_overrun,0.09,0.2,0.13179999999999992
MDL_context::release_lock,0.09,0.22,0.1304999999999999
Lex_input_stream::add_digest_token,0.09,0.21,0.12989999999999996
Item::save_in_field,0.07,0.24,0.12969999999999993
alloc_query,0.09,0.23,0.12859999999999988
Sql_cmd_insert_base::prepare_inner,0.08,0.21,0.12799999999999995
selinux_socket_recvmsg,0.09,0.21,0.12769999999999992
dict_table_stats_latch_destroy,0.0,0.25,0.125
binlog_cache_data::write_event,0.08,0.22,0.1247999999999999
pfs_memory_free_vc,0.08,0.21,0.12479999999999988
MDL_ticket_store::find_in_lists,0.07,0.22,0.12389999999999991
__update_load_avg_se,0.09,0.2,0.1237999999999999
MYSQL_BIN_LOG::write_transaction,0.08,0.21,0.12319999999999996
check_heap_object,0.07,0.24,0.12269999999999992
sched_balance_update_blocked_averages,0.08,0.23,0.12139999999999987
Item::itemize,0.07,0.19,0.1211999999999999
Item_func::compile,0.07,0.24,0.12089999999999995
simple_copy_to_iter,0.07,0.24,0.1192999999999999
wakeup_preempt,0.07,0.22,0.11899999999999994
