Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
sys_nanosleep,0.28,0.61,0.4085
sys_clock_gettime,0.31,0.51,0.40800000000000003
__memset_sse2,0.3,0.52,0.40449999999999997
ha_innobase::change_active_index,0.34,0.49,0.4034999999999999
row_sel_store_mysql_rec,0.31,0.49,0.40199999999999997
Fil_shard::space_extend,0.34,0.45,0.4005000000000001
mark_buffer_dirty,0.31,0.49,0.39949999999999997
ha_innobase::build_template,0.3,0.48,0.3955
io_schedule_timeout,0.31,0.47,0.39449999999999996
bit_wait_io,0.31,0.48,0.39300000000000007
io_schedule,0.31,0.47,0.387
MYSQL_BIN_LOG::write_transaction,0.3,0.47,0.38450000000000006
Double_write::write_pages,0.27,0.46,0.38
put_page,0.3,0.44,0.37700000000000006
pack_row,0.27,0.48,0.376
Double_write::write_dblwr_pages,0.27,0.46,0.37550000000000006
que_run_threads,0.3,0.44,0.372
__lll_unlock_wake,0.29,0.44,0.37099999999999994
__radix_tree_lookup,0.28,0.48,0.3685000000000001
row_purge_step,0.28,0.41,0.354
__set_page_dirty,0.28,0.45,0.353
hrtimer_start_range_ns,0.22,0.53,0.35150000000000003
"contextualize_array<Parse_context, Mem_root_array_YY<PT_table_reference*> >",0.27,0.41,0.3509999999999999
handler::read_range_next,0.24,0.41,0.3465
virtio_queue_rq,0.26,0.42,0.34049999999999997
hrtimer_nanosleep,0.22,0.56,0.3365
_raw_read_lock,0.28,0.47,0.33649999999999997
buf_flush_init_for_writing,0.24,0.39,0.33499999999999996
ib_log_wr_notif,0.31,0.35,0.33349999999999996
page_cur_insert_rec_low,0.24,0.4,0.3325000000000001
ib_log_fl_notif,0.32,0.35,0.33249999999999996
mtr_t::Command::execute,0.27,0.4,0.32950000000000007
handler::ha_index_next,0.22,0.4,0.3295
pthread_cond_wait@@GLIBC_2.3.2,0.21,0.43,0.328
PT_table_factor_table_ident::contextualize,0.25,0.4,0.32749999999999996
PT_locking::contextualize,0.24,0.42,0.32599999999999996
page_copy_rec_list_end,0.23,0.44,0.32399999999999995
__test_set_page_writeback,0.2,0.39,0.32199999999999995
ext4_reserve_inode_write,0.27,0.44,0.3215
schedule_timeout,0.22,0.41,0.32099999999999995
malloc_consolidate,0.24,0.4,0.3175
TTASEventMutex<GenericPolicy>::wait,0.23,0.42,0.315
Lex_hash::get_hash_symbol,0.23,0.39,0.315
__fdget,0.25,0.37,0.3149999999999999
log_flush_notifier,0.3,0.33,0.314
do_nanosleep,0.19,0.51,0.3135
init_table_iterator,0.24,0.42,0.3135
log_write_notifier,0.27,0.33,0.3125
__fget_light,0.24,0.37,0.309
pfs_digest_end_vc,0.23,0.42,0.30650000000000005
buf_page_make_young,0.24,0.37,0.3055
PTI_context::itemize,0.22,0.38,0.30300000000000005
page_move_rec_list_end,0.21,0.42,0.2965
Sql_cmd_delete::delete_from_single_table,0.23,0.38,0.2965
Session_sysvars_tracker::mark_as_changed,0.21,0.36,0.29450000000000004
__check_object_size,0.21,0.38,0.29200000000000004
Table_map_log_event::init_metadata_fields,0.24,0.37,0.2915
buf_LRU_scan_and_free_block,0.19,0.39,0.2915
binlog_cache_data::write_event,0.22,0.4,0.2900000000000001
pagevec_lookup_tag,0.2,0.39,0.28850000000000003
blk_insert_flush,0.18,0.35,0.28800000000000003
buf_read_ibuf_merge_pages,0.24,0.34,0.28700000000000003
[libcrypto.so.1.0.2k],0.24,0.38,0.28700000000000003
trx_undo_update_cleanup,0.18,0.39,0.2845
buf_page_optimistic_get,0.2,0.39,0.28400000000000003
pthread_mutex_lock,0.21,0.34,0.2839999999999999
trx_purge_add_update_undo_to_history,0.18,0.39,0.2825
